T,AP,RH,V,EP
23.39,1005.22,93.7,71.25,435.68
21.48,1006.88,63.54,47.43,449.2
22.63,1013.69,90.32,58.41,445.43
20.01,1014.21,38.19,45.09,453.96
20.52,1015.9,68.1,43.79,463.93
13.58,1008.9,86.8,49.83,465.82
14.38,1024.59,81.68,44.84,471.6
28.53,1004.46,68.03,69.84,427.72
13.89,1016.4,65.49,35.71,468.54
25.93,1008.91,79.43,69.34,434.08
17.84,1020.1,70.68,61.27,454.57
6.28,1020.96,90.91,41.06,489.79
8.16,1011.21,85.56,39.64,481.78
18.61,1004.07,84.49,67.71,443.57
16.23,1009.96,83.01,43.72,457.9
8.66,1022.51,98.55,41.01,472.16
19.53,1013.72,81.46,66.54,451.19
10.17,1018.54,68.21,40.46,470.33
6.48,1010.55,82.12,40.27,486.68
12.69,1016.05,82.92,40.75,472.68
23.77,1009.8,54.83,61.87,445.72
14.43,1021.86,83.14,43.5,466.58
28.25,1007.99,67.9,57.19,436.99
12.26,1011.79,79.06,39.96,470.87
14.55,1027.29,66.64,42.74,457.77
24.57,1005.8,70.07,51.95,448.15
10.25,1007.44,98.08,41.26,476.03
21.96,1007.28,89.96,51.43,442.87
9.82,1010.79,69.22,39.64,477.93
18.58,1016.61,48.15,44.6,459.06
20.57,1008.39,62.69,44.9,456.18
8.61,1024.81,95.6,41.04,473.62
9.99,1022.95,99.67,43.52,473.64
13.97,1012.05,85.36,52.05,463.64
16.76,1011.27,70.55,43.67,462.44
25.58,1014.5,63.53,47.01,454.39
17.34,1007.18,83.15,46.48,452.06
19.13,1012.95,71.24,66.86,453.31
12.75,1020.44,83.17,40.64,466.93
29.46,1003.88,54.1,49.3,436.37
15.59,1024.3,59.93,52.75,458.87
14.2,1012.18,57.07,43.02,470.67
14.05,1011.52,66.21,40.35,475.54
32.35,1014.76,60.88,77.95,432.72
21.41,1007.03,79.41,56.9,441.41
10.61,1008.8,100.13,37.5,472.9
19.13,1004.47,91.7,40.79,457.83
17.28,1018.15,66.93,44.06,462.05
24.79,1008.78,61.88,50.78,445.3
28.66,1006.08,47.74,50.05,435.94
12.91,1011.9,89.19,41.16,472.71
17.32,1015.13,61.66,43.7,464.5
18.74,1018.3,91.55,59.21,449.77
26.69,1006.82,68.29,70.36,435.04
12.28,1005.72,98.56,40.55,472.47
14.46,1007.64,67.03,44.78,459.31
30.54,999.42,64.32,70.17,434.62
27.58,1004.82,51.23,66.48,435.34
32.17,1001.43,69.86,73.21,430.64
26.23,1012.93,66.62,59.87,447.16
11.69,1019.02,55.6,35.76,471.72
14.73,1012.67,80.82,39.82,470.41
12.36,1012.8,93.59,48.04,468.37
9.52,1023.48,86.49,40.96,483.59
27.32,1012.07,86.3,73.42,432.74
23.81,1012.13,86.13,73.17,438.11
7.92,1008.55,81.68,42.28,484.75
23.58,1009.68,81.38,58.82,445.01
20.78,1018.66,80.4,60.84,445.82
19.68,1002.62,71.57,68.28,452.47
14.12,1022.46,73.28,40.92,459.76
22.97,1010.25,75.18,62.4,445.3
6.89,1020.21,74.17,39.37,486.9
19.98,1020.22,73.53,56.53,454.89
21.71,1015.74,89.76,60.27,441.19
23.02,1011.74,83.18,59.21,440.5
27.71,1009.65,58.38,69.51,435.04
10.46,1013.12,76.74,37.5,472.16
27.18,1009.89,52.83,62.66,442.16
25.56,1005.67,69.29,50.05,442.49
19.69,1001.49,60.34,39.72,456.55
31.37,997.34,62.94,76.86,431.03
14.17,1013.4,72.77,41.67,471.42
15.6,1024.88,80.37,43.71,463.34
25.3,1010.18,87.36,71.58,433.97
7.09,1020.07,73.26,39.37,487
6.07,1027.57,86.98,41.14,480.19
9.86,1018.22,85.35,38.38,479.56
14.73,1011.15,65.2,40.35,470.03
31.32,1012.92,36.48,74.33,429.57
6.14,1012.4,75.35,38.5,489.26
27.92,1013.21,44.43,69.23,435.62
25.63,1014.86,52.75,58.86,443.84
16.37,1006.37,90.11,36.99,463.76
28.31,1014.67,59.29,65.71,447.26
24.44,1005.34,80.37,69.84,430.3
11.33,1013.58,88.7,41.5,475.01
23.87,1019.02,44.28,63.94,445.11
21.14,1020.39,86.2,48.78,450.35
22.24,1015.93,62.25,60.07,446.14
23.07,1008.64,83.37,70.47,439.04
25.95,1016.42,67.03,59.14,438.46
16.44,1013.66,76.31,43.96,468.57
20.66,1014.68,79.7,41.54,461.55
15.01,1017.53,72,39.52,468.02
20.51,1020.65,75.36,63.86,447.18
24.1,1006.47,47.58,52.84,444.69
9.38,1019.29,75.77,40.46,474.1
27.49,1008.25,68.29,71.94,428.27
32.84,1003.59,43.88,68.14,425.18
20.83,1008.51,35.9,44.78,460.6
28.69,1017.71,44.6,67.25,436.21
9.35,1011.02,88.11,44.03,476.25
17.37,998.79,68.44,41.23,461.08
14.84,1017.26,63.42,41.48,460.3
27.88,1007.68,75.68,68.94,435.04
17.83,1008.64,78.72,43.72,453.86
7.64,1008.46,84.29,42.28,484.78
25.67,1010.24,68.87,74.78,440.48
23.1,1011.93,80.05,51.3,452.17
27.13,1013.9,51.16,69.45,434.47
26.95,1009.73,82.95,70.8,436.8
19.4,1013.19,58.63,42.44,459.76
13.5,1023.87,87.17,44.92,468.85
11.97,1026.42,70.75,41.04,468.81
18.11,1016.61,89.17,58.95,454.29
24.1,1007.96,67.56,71.29,442.8
20.29,1013.17,74.94,65.27,445.52
21.82,1013.86,72.81,65.27,447.43
29.45,1018.12,50.68,75.6,437.31
10.87,1020.85,69.78,38.38,477.03
17.36,1008.28,68.87,39.53,456.57
24.97,1017.19,56.24,58.95,440.03
13.72,1012.95,87.41,45.09,466.24
26.49,1012.55,74.24,61.86,440.21
8.25,1020.59,91.84,41.26,475.17
12.8,1007.58,66.6,44.9,466.95
17.08,1012.17,81.5,40.12,457.81
31.4,1008.44,74.77,71.06,433.34
8.26,1020.85,68.82,44.71,485.19
21.22,1014.68,59.71,59.15,450.96
26.1,1012.44,60.91,62.91,446.05
19.91,1008,90.23,51.19,449.23
14.56,1015.48,73.73,40.69,469.31
10.22,1022.65,83.58,41.74,479.01
29.12,1008.05,46.86,67.83,432.46
16.97,1005.7,69.13,39.16,458.59
26.19,1003.69,65.88,49.3,440.13
23.65,1019.6,78.21,66.05,442.9
29.53,1007.22,70.68,70.94,432.43
19.69,1020.84,72.14,56.65,455.07
33.71,1013.09,42.62,69.98,431.99
32.14,1005.35,49.92,75.08,439.22
29.28,1009.4,76.3,77.17,433.14
7.01,1021.47,62.84,37.8,483.95
30.47,1009.55,64.98,68.24,427.94
29.13,1002.5,49.1,47.93,435.61
11.86,1013,66.92,39.85,478.29
26.16,1013.62,58.52,52.36,453.08
10.56,1010.19,87.12,39.13,463.14
8.58,1022.04,87.55,40.72,480.96
14.26,1022.07,73.96,40.92,460.38
23.48,1007.07,88.49,73.67,437.19
5.54,1008.69,95.91,45.87,478.02
16.98,1021.65,81.17,43.99,456.07
30.08,1017.6,53.09,67.25,434.01
10.63,1020,72.42,39.61,476.99
30.36,1008.96,61.87,74.87,435.31
29.56,1006.49,82.95,70.4,432.85
19.94,1020.48,76.43,56.53,453.8
27.55,999.73,57.34,64.96,431.33
31.44,1006.95,56.99,79.74,431.69
25.35,1015.29,77.84,74.33,435.66
4.11,1015.9,81.79,38.44,488.05
30.59,1010.28,50.56,70.04,429.13
14.04,1017.62,75.25,48.79,464.09
15.47,1021.59,81.74,44.9,465.61
8.67,1011.81,89.4,40.77,479.23
10.53,1008.55,99.91,37.5,472.32
7.99,1021.95,78.77,41.38,487.57
22.29,1012.4,51.58,45.01,449.08
9.06,1015.14,58.71,36.3,477.38
10.05,1012.64,75.97,37.14,474.16
20.07,1012.34,56.8,49.21,454.25
30.65,1004.92,63.39,71.98,429.85
14.38,1017.48,90.64,40.73,462.98
27.76,1008.53,86.97,71.97,434.04
16.7,1019.04,50.9,40.56,470.84
5.35,1027.12,80.81,35.57,488.65
11.57,1021.71,61.49,41.38,473.94
30.57,1013.75,73.68,73.03,437.42
16,1016.12,89.23,40.66,457.12
15.6,1025.48,64.43,41.04,457.49
22.12,1005.5,84.47,47.93,443.41
21.33,1016.17,79.73,58.46,445.27
23.65,1010.19,89.53,59.92,436.74
6.8,1020.24,73.29,39.37,487.33
31.35,1005.99,62.35,71.32,434.43
23.99,1012.92,70.68,68.12,437.14
26.53,1012.9,66.73,54.2,439.96
31.59,1009.3,50.16,62.7,442.58
24.06,1005.47,60.46,69.94,436.88
27.28,1009.02,49.9,44.89,441.94
23.69,1009.62,93.03,71.97,438.62
11.46,1010.17,100.15,39.1,470.55
22.61,1003.51,83.02,49.3,441.76
21.84,1013.94,46.11,45.09,450.88
9.2,1013.19,91.25,39.82,482.89
17.75,1020.86,63.67,49.25,454.41
7.53,1018.58,64.85,43.65,479.15
16.76,1014.28,57.71,45.09,458.67
22.69,1016.35,72.02,65.12,446.91
11.91,1021.39,84.49,44.45,466.52
26.63,1008.18,69,61.47,444.16
6.72,1011.84,84.66,39.85,489.09
9.44,1020.31,98.06,43.99,475.01
18.32,1022.67,46.38,45,471.43
18.31,1020.38,79.02,62.1,455.24
26.57,1007.76,50.39,44.57,445.49
34.33,1000.89,37.9,69.05,430.56
14.85,1025.38,53.29,40.8,471.78
29.33,1010.76,53.32,64.84,443.15
8.77,1019.68,77.84,40.46,475
11.35,1017.93,83.45,38.91,474.22
21.38,1005.69,81.66,44.05,445.71
4.88,1012.66,74.51,40.27,491.29
26.66,1012.83,58.88,64.27,437.87
13.04,1013,87.68,45.09,467.44
29.47,1008.07,67,71.32,437.14
18.91,1006.98,84.07,56.9,448.24
24.86,1005.69,66.65,44.05,447.2
9.42,1029.6,87.43,41.4,478.12
12.75,1018.17,94.67,42.34,465.44
21.32,1008.81,85.81,49.02,445.65
24.26,1008.48,66.74,67.69,437.4
20.01,1012.13,65.53,43.77,455.66
21.35,1012.28,95.71,59.04,445.83
17.43,1019.87,92.77,63.09,449.36
27.86,1012.87,55.53,65.18,436.26
20.74,1015.46,76.39,59.8,452.99
27.73,1007.47,59.42,67.69,431.72
9.53,1018.01,80.09,41.44,481.83
28.5,1006.75,87.09,79.74,433.08
21.39,1009.2,79.77,52.3,446.87
14.54,1015.29,94.48,46.18,463.03
28.01,1014.68,46.86,65.34,440.77
30.51,1007.64,59.42,70.94,430.91
21.63,1018.16,77.53,60.84,445.93
26.39,999.8,89.12,71.25,430.34
13.84,1020.92,74.74,41.26,462.46
17.27,1021.37,76.73,43.52,460.08
21.89,1011.31,85.71,58.05,441.76
24.02,1020.49,55.17,64.63,449.66
31.92,1001.81,61.97,75.33,436.38
12.97,1008.69,91.49,49.83,452.07
15.89,1014.02,75.24,43.96,467.35
9.25,1020.51,91.21,41.26,473.87
15.99,1021.34,73.22,43.5,460.7
9.06,1019.64,76.98,39.66,479.53
14.48,1018.73,75.88,44.06,467.46
27.15,1013.49,51.71,59.21,440.27
21.68,1021.09,70.88,64.15,454.32
28.16,1009.19,62.53,61.47,442.48
34.33,1001.74,42.75,74.34,435.76
31.98,1010.49,58.01,64.05,439.56
15.21,1012.92,56.61,43.56,467
13.56,1017.95,93.83,42.34,462.6
10.32,998.27,99.12,42.02,472.16
22.46,1011.5,70.54,58.49,448.46
29.3,1011.23,56.23,68.08,434.11
22.3,1008.48,67.58,44.57,449.74
21.91,1009.17,90.57,70.32,439.29
10.95,1022.61,63.46,43.8,473.2
24.96,1011.27,70.22,68.12,437.62
5.91,1010.18,95.53,39.33,491.49
5.25,1019.48,67.7,40.07,495.23
21.47,1006.46,87.83,60.93,442.75
10.16,1019.71,81.21,39.3,480.74
17.29,1016.24,77.56,44.06,461.38
17.46,1006.7,91.96,40.22,461.74
11.56,1025.48,74.75,40.43,489.54
7.51,1024.61,97.41,41.01,477.61
17.08,1015.41,73.42,38.58,461.49
9.27,1004.29,95.05,42.02,474.93
21.3,1010.92,65.09,48.92,447.89
8.51,1015.54,83.16,40.81,481.02
12.77,1014.13,86.8,41.5,470.68
25.04,1017.66,57.08,65.48,440.92
21.83,1001.91,41.79,41.1,453.38
15.92,1006.24,79.42,41.79,458.68
29.97,1007.92,66.74,69.14,433.82
9.8,1032.98,67.55,41.82,473.72
9.01,1016.67,63.61,38.56,482.37
24.71,1013.78,85.82,61.9,443.39
20.57,1016.76,74,63.78,449.93
24.32,1017.55,59.02,65.48,443.31
21.41,1008.61,84.47,50.32,443.63
27.09,1013.02,55.18,59.15,438.9
23.49,1008.46,66.18,47.45,446.72
20,1017.06,63.1,63.31,449.68
13.4,1020.5,71.17,41.58,461.54
23.6,1017.51,63.02,60.08,451.97
21.03,1010.21,95.69,70.02,444.53
5.15,1008.02,98.36,45.87,479.61
17.16,1016.4,86.39,58.86,453.76
24.59,1006.89,88.52,71.94,430.28
23.05,1010.99,69.73,65.94,442.39
10.48,1009.81,95.26,37.5,474.57
15.72,1011.98,45.74,43.02,466.33
25.56,1009.07,90.63,70.32,433.72
13.78,1021.65,75.77,41.16,460.44
29.35,1008.55,61.78,69.04,445.04
32.09,1006.92,61.5,79.74,432.85
25.16,1000.73,86.4,77.3,439.37
14.63,1018.03,63.4,40,457.09
5.7,1012.18,91.57,40.35,488.8
28.15,1003.67,76.32,74.9,433.63
22.3,1006.4,75.28,57.19,445.1
27.71,1007.18,72.68,72.99,433.01
23.09,1012.25,43.95,45.01,453.45
19.66,1001.51,95.75,42.18,454.46
10.02,1021.93,73.68,52.75,473.09
23.97,1006.63,76.83,68.67,441.53
7.82,1015.58,90.11,38.91,479.15
30.21,1003.69,62.89,69.4,438.18
24.12,1013.83,88.02,62.44,443.3
21.05,1016.49,91.23,63.09,447.45
13.93,1017.88,88.35,40.24,469.25
9.68,1022.75,87.44,41.06,476.67
17.48,1021.51,84.53,49.39,460.01
28.76,1006.07,62.41,66.56,432.3
19.21,1013.18,81.64,53.16,454.01
25.63,1008.2,86.8,72.99,436.64
20.36,1015.86,87.19,66.05,450.23
15.34,1018.03,86.19,40.73,458.55
9.55,1023.12,68.06,40.72,481.08
13.45,1022.04,82.96,41.16,460.57
10.8,1011.99,87.54,39.58,478.24
28.15,1007.62,70.03,72.99,431.83
15.42,1021.23,59.37,40.56,469.33
33.6,1012.31,35.66,74.33,428.62
30.92,1011,59.62,78.05,434.12
25.24,1010.44,74,57.17,442.77
13.6,1015.92,85.05,41.2,467.42
18.68,1002.2,97.17,46,447.8
22.43,1006.94,75.54,69.84,436.19
23.37,1008.01,81.28,70.94,441.56
19.62,1012.89,37.6,43.56,463.33
14.35,1012.92,82.41,39.39,470.53
24.88,1009.41,77.75,63.91,447.28
20.67,1013.27,79.39,63.56,450.7
34.11,1006.77,45.92,73.56,432.78
19.15,1009.6,74.52,44.89,451.09
24.96,1007.73,76.48,70.47,438.23
18.86,1001.16,98.58,42.18,457.07
25.1,1005.83,72.53,60.37,438.44
10.15,1018.4,82.07,43.41,473.43
26.53,1012.77,64.37,65.18,437.39
26.05,1011.31,55.25,46.21,450.86
25.45,1015.53,80.95,74.33,435.12
8.14,1023.41,88.86,39.96,477.05
31.95,1007.11,61.58,67.17,432.6
30.8,1007.39,75.78,73.56,432.43
7.69,1014.51,85.23,43.02,486.46
15.3,1011.75,95.31,43.67,468.14
27.12,1009.94,52.67,70.32,429.08
25.76,1010.18,65.15,74.87,443.7
10.28,1010.45,74.15,39.64,477.65
30.91,1006.92,56.32,79.74,433.84
24.22,1013.39,80.11,61.86,442.65
5.67,1008.91,93.29,45.87,478.44
22.96,1011.15,76.62,68.61,447.18
24.54,1014.27,40.77,65.46,446.26
11.32,1015.03,64.68,36.18,472.67
15.15,1016.34,62.59,53.82,461.6
23.53,1005.63,78.4,50.05,443.71
29.08,1004.67,64.5,66.54,430.16
20.42,1017.65,87.07,60.77,447.85
26.32,1009.39,67.05,69.71,441.25
21.89,1016.11,77.88,74.93,448.47
9.68,1018.24,71.04,41.48,473.31
16.73,1017.96,59.44,54.3,460.54
7.8,1018.46,66.5,39.04,482.31
23.29,1014.81,70.27,65.61,447.67
28.93,1007.23,64.41,72.99,434.45
16.75,1013.81,84.98,42.23,464.87
21.47,1017,76.97,58.79,446.33
25.98,1011.36,66.86,68.12,439
16.34,1006.99,90.06,36.99,466.24
25.23,1009.51,82.87,69.34,445.92
12.41,1015.46,76.9,41.44,472.06
24.2,1016.92,71.65,60.77,439.13
7.51,1015.9,78.31,41.66,485.58
31.53,1007.11,50.04,70.94,431.84
17.42,1016.63,82.15,44.06,456.57
6.92,1018.64,82.27,39.61,483.83
8.34,1023.62,83.75,40.72,483.14
32.07,1007.91,41.61,67.83,429.31
27.18,1016.27,63.7,64.79,443.87
9.24,1030.72,87.36,41.4,476.9
13.48,1018.15,88.38,46.18,464.58
22.74,1009.56,79.41,61.02,445.56
28.62,1010.15,69.31,68.24,428.08
25.11,1011.12,78.01,62.26,434.97
11.47,1012.68,72.51,43.67,475.72
29.51,1017.92,50.61,75.6,431.18
15.24,1013.01,74.24,39.39,469.79
22.71,1010.48,76.86,75.23,444
13.98,1009.61,89.12,39.18,467.97
17.89,1011.99,76.52,40.12,451.79
12.81,1016.49,80.76,44.58,475.5
15.54,1011.78,97.46,41.96,467.1
20.21,1016.82,66.56,54.9,454.23
6.17,1028.68,90.59,36.25,483.77
26.42,1007.02,76.28,59.54,438.5
14.6,1028.46,69.96,44.47,465.24
29.53,998.47,76.05,72.39,431.69
12.95,1025.63,90.7,43.71,469.15
13.26,1007.97,90.63,40.83,472.14
23.48,1011.91,79.48,60.23,437.44
10.16,1005.69,58.04,41.55,477.27
29.13,1006.63,52.85,66.56,439.31
10.8,1020.24,78.62,41.74,479.32
25.21,1017.19,69.84,75.6,445.84
20.72,1008.96,72.57,44.57,449.76
26.17,1010.01,73.75,59.92,444.96
17.48,1018.89,61.51,44.2,457.15
29.67,1006.48,64.98,73.67,429.28
26.38,1010.04,69.45,71.73,431.66
12.08,1019.45,78.3,41.39,477.8
25.3,1007.22,95.1,70.98,440.86
16.55,1009.07,77.8,39.64,465.29
13.18,1023.18,61.21,43.8,467
21.34,1010.11,80.7,51.61,452
20.06,1008.79,70.06,44.9,448.51
8.26,1025.89,70.53,39.42,474.72
8.51,1013.33,64.28,38.5,482.39
8.83,1028.86,85.6,36.25,478.45
14.52,1023.51,88.51,44.84,466.88
7.87,1014.67,83.58,43.02,485.61
7.14,1019.98,71.9,44.71,487.71
7.49,1020.27,85.69,36.08,483.26
11.01,1011.13,83.09,40.22,476.69
20.74,1017.54,70.66,58.2,450.4
30.98,1009.96,58.92,67.48,439.39
26.67,1007.7,56.56,70.94,439.13
28.24,1010.1,67.92,71.58,434.01
11.98,1014.97,98.05,39.35,472.43
30.91,1010.23,59.36,69.75,435.7
23.23,1012.52,75.1,63.31,441.5
30.13,1010.99,61.5,78.05,434.14
20.79,1014.9,77,65.59,450.3
14.38,1012.95,86.1,45.09,464.27
10.07,1018.65,69.2,40.46,470.99
10.48,1021.97,65.22,41.38,481.41
6.86,1020.12,79.14,41.17,490.23
13.25,1010.8,77.81,41.62,457.64
26.92,1012.29,59.33,51.43,437.35
12.76,1006.58,49.34,40.27,474.03
30.2,1006.31,62.14,73.67,428.72
10.72,1021.6,63.77,41.38,478.29
17.39,1013.94,82.73,46.21,454.06
30.97,1005.61,50.88,67.69,425.35
28.16,1007.69,68.17,71.94,430.46
28.84,1013.99,76.05,73.03,435.75
24.48,1014.69,51.43,64.45,452.82
11.23,1018.46,60.62,39.72,475.04
13.52,1017.91,90.21,42.07,464.07
16.61,1009.34,97.93,45.87,455.86
20.96,1019.99,67.32,61.27,448.77
32.15,1013.3,55.13,69.98,429.86
21.24,1008.72,72.57,44.57,447.03
26.49,1010.82,83.42,78.92,434.91
24.01,1014.17,43.02,65.46,443.81
33.15,1003.72,53.98,70.4,430.15
20.13,1005.31,85.42,40.33,460.09
21.41,1007.84,88.83,62.39,452.8
31.35,1010.11,66.37,70.8,432.19
27.44,1003.86,66.74,58.9,442.19
25.21,1006.43,78.55,51.43,439.01
32.06,1001.96,63.15,75.33,432.92
25.04,1005.56,66.53,51.95,449.45
13.31,1014.81,82.11,40.1,468.74
29.68,1011.2,57.73,64.33,441.79
13.46,1014.51,50,44.71,474.6
18.77,1021.06,82.95,49.39,454.53
13.56,1023.4,63.82,39.18,470.38
20.65,1014.94,71.83,66.51,456.49
26.5,1017.03,61.34,66.05,440.15
23.67,1011.22,90.45,72.24,435.94
8.64,1014.14,80.44,41.66,481.89
20.2,1011.72,77.63,50.9,454.09
5.04,1021.35,93.63,40.64,484.42
23.59,1009.96,65.8,59.43,440.61
17.47,1016.36,82.26,58.16,456.97
6.02,1013.85,83.53,43.65,481.92
30.05,1007.02,41.96,56.9,437.55
29.23,1004.31,81.46,68.14,428.87
26.03,1012.75,62.24,64.44,445.89
26.38,1012.82,37.19,49.5,457.81
5.66,1015.87,84.97,40.62,485.18
27.65,1008.54,58.25,48.41,440.94
17.88,1013.73,67.78,46.97,456.77
11.2,1013.81,72.81,37.5,472.2
20.94,1016.88,65.43,58.16,455.16
20.64,1014.86,58.47,49.21,454.2
19.21,1014.94,70.02,60.07,452.84
13.22,1023.84,87.99,44.92,471.43
33.6,1009.01,47.53,77.17,430.32
27.83,1011.22,71.05,59.57,443.85
21.11,1011.6,80.44,58.49,449.16
30.47,1002.13,63.7,77.3,434.68
15.48,1004.88,81.68,47.83,463.67
20.25,1007.93,40.16,44.78,462.44
15.87,1009.95,66.78,39.31,460.59
22.57,1009.77,86.05,62.4,444.69
12.67,1017.41,83.63,48.14,463.68
21.41,1011.37,82.28,54.2,448.11
30.86,1011.88,62.68,70.32,433.71
23.64,1014.92,64.91,60.95,447.86
5.52,1012.77,93.82,42.85,478.98
11.06,1021.47,96.16,40.64,479.13
24.41,1006.58,77.94,56.9,439.51
10.28,1020.43,69.09,39.61,478.34
14.67,1019.84,77.72,71.14,458.8
25.15,1012.41,41.84,57.32,440.1
21.5,1016.87,57.58,44.58,460.2
7.74,1025.78,95.81,39.96,475.23
21.31,1014.1,75.77,42.8,459.84
29.92,1014.09,50.62,67.22,444.78
4.15,1007.62,95.69,39.9,489.8
15.95,1017.71,69.32,42.24,465.35
25.01,1004.55,82.46,66.56,434.74
27.17,1006.76,81.59,67.17,431.73
28.14,1011.82,69.32,43.21,436.53
13.93,1025.35,81.54,44.47,469.25
25.83,1006.24,81.83,70.47,434.45
24.4,1016.5,70.96,60.32,447.73
26.35,1008.45,70.47,69.48,435.23
30.99,1009.41,50.84,69.82,437.46
25.82,1007.99,62.95,57.19,440.8
28.37,1017.48,55.19,75.6,439.25
29.28,1011.66,72.37,74.33,426.53
18.35,1019.64,77.94,57.76,458.41
16.69,1010.8,96.8,46.18,466.03
9.59,1013.8,72.85,37.14,474.74
